vname,lname
hhid,가구id
pid,가구원id
wave,서베이차수
year,조사년도
h_hage,가구주 나이
h_hprice,소유주택 시가(단위: 만원)
h_hsex,가구주 성별(1=남자 2=여자)
h_region,"거주지역(16개시도, 19=세종시): 코드북 참고"
h_resid_type,"주택점유형태(1=자가, 2=전세, 3=월세, 4=기타) "
p_age,가구원나이 
p_edu,"교육수준(1=무학. 2=고졸미만. 3=고졸, 4=대재및 중퇴, 5=전문대졸 6=대졸이상)"
p_rel,가구주와의 관계(코드북 참고)
p_religion,"종교(1=무교 2=불교, 3=기독교(개신교) 4=천주교 5~10=KLIPS 자체 코드북 참고)"
p_sex,"성별(1=남자, 2=여자)"
