vname,lname
pid,개인고유번호
hhid,가구번호
wave,패널차수
year,조사년도
h_resid_type,"주택점유형태(1=자가, 2=전세, 3=월세, 4=기타) "
p_sex,"성별(1=남자, 2=여자)"
