vname,lname
a072782,(여가)일자리에서쉬도록되어있는날-2.설날
a072783,(여가)일자리에서쉬도록되어있는날-3.설다음날
a072784,(여가)일자리에서쉬도록되어있는날-4.추석전날
a072785,(여가)일자리에서쉬도록되어있는날-5.추석
a072786,(여가)일자리에서쉬도록되어있는날-6.추석다음날
a072791,(여가)실제로쉰날-1.설전날
a072792,(여가)실제로쉰날-2.설날
a072793,(여가)실제로쉰날-3.설다음날
a072794,(여가)실제로쉰날-4.추석전날
a072795,(여가)실제로쉰날-5.추석
a072796,(여가)문16 실제로쉰날-6.추석다음날
a072801,(여가)일자리에서쉬도록되어있는날-1.회사창립일
a072802,(여가)일자리에서쉬도록되어있는날-2.노조창립일
a072803,(여가)직장에서쉬도록되어있는날-기타휴무일
a072811,(여가)실제로쉰날-1.회사창립일
a072812,(여가)실제로쉰날-2.노조창립일
a072813,(여가)실제로응답자가쉰날-기타휴무일
a072851,(여가)하계휴가일수
a072901,(여가)예상-1.근로소득
a072902,(여가)예상-2.휴가일수
a072903,(여가)예상-3.초과근로및휴일근로
a072904,(여가)예상-4.실제근로시간
a072905,(여가)예상-5.취업기회
a072911,(여가)근무시간관리
a072912,(여가)노동강도
a072921,(여가)정규근로시간단축여부
a072922,(여가)사용시간이늘어난활동
a072923,(여가)사용시간이늘어난활동
a072924,(여가)사용시간이늘어난활동
a072925,(여가)가장많은시간을할애하고싶은활동
a072926,(여가)가장많은시간을할애하고싶은활동
a072927,(여가)가장많은시간을할애하고싶은활동
a072931,(여가)출산경험
a072932,(여가)가장최근출산시취업형태
a072933,(여가)출산휴가(전)
a072934,(여가)출산휴가(후
a072935,(여가)출산휴가
a072936,(여가)21일이하출산휴가이유
a073001,(여가)시간-1.평일-1.개인유지
a073002,(여가)시간-1.평일-2.주된취업활동
a073003,(여가)시간-1.평일-3.부업
a073004,(여가)시간-1.평일-4.구직활동
a073005,(여가)시간-1.평일-5.가사활동
a073006,(여가)시간-1.평일-6.학업및자기계발활동
a073007,(여가)시간-1.평일-7.교제활동
a073008,(여가)시간-1.평일-8.여가활동
a073009,(여가)시간-1.평일-9.종교활동
a073010,(여가)시간-1.평일-10.참여및봉사활동
a073011,(여가)시간-1.평일-11.그외기타
a073021,(여가)시간-2.토요일-1.개인유지
a073022,(여가)시간-2.토요일-2.주된취업활동
a073023,(여가)시간-2.토요일-3.부업
a073024,(여가)시간-2.토요일-4.구직활동
a073025,(여가)시간-2.토요일-5.가사활동
a073026,(여가)시간-2.토요일-6.학업및자기계발활동
a073027,(여가)시간-2.토요일-7.교제활동
a073028,(여가)시간-2.토요일-8.여가활동
a073029,(여가)시간-2.토요일-9.종교활동
a073030,(여가)시간-2.토요일-10.참여및봉사활동
a073031,(여가)시간-2.토요일-11.그외기타
a073041,(여가)시간-3.일요일-1.개인유지
a073042,(여가)시간-3.일요일-2.주된취업활동
a073043,(여가)시간-3.일요일-3.부업
a073044,(여가)시간-3.일요일-4.구직활동
a073045,(여가)시간-3.일요일-5.가사활동
a073046,(여가)시간-3.일요일-6.학업및자기계발활동
a073047,(여가)시간-3.일요일-7.교제활동
a073048,(여가)시간-3.일요일-8.여가활동
a073049,(여가)시간-3.일요일-9.종교활동
a073050,(여가)시간-3.일요일-10.참여및봉사활동
a073051,(여가)시간-3.일요일-11.그외기타
a073101,"(여가)지난주활동여부-1.여행,관광,나들이"
a073102,"(여가)지난주총소요시간-1.여행,관광,나들이"
a073103,"(여가)누구와함께-1.여행,관광,나들이"
a073104,"(여가)본인이지출한경비(천)-1.여행,관광,나들이"
a073111,"(여가)지난주활동여부-2.운동,스포츠"
a073112,"(여가)지난주총소요시간-2.운동,스포츠"
a073113,"(여가)누구와함께-2.운동,스포츠"
a073114,"(여가)본인이지출한 경비(천)-2.운동,스포츠"
a073121,"(여가)지난주활동 여부-3.오락,게임"
a073122,"(여가)지난주총소요시간-3.오락,게임"
a073123,"(여가)누구와함께-3.오락,게임"
a073124,"(여가)본인이지출한경비(천)-3.오락,게임"
a073131,"(여가)지난주활동여부-4.사교,모임활동"
a073132,"(여가)지난주총소요시간-4.사교,모임활동"
a073133,"(여가)누구와함께-4.사교,모임활동"
a073134,"(여가)본인이지출한경비(천)-4.사교,모임활동"
a073141,(여가)현재보다많은시간을보내기원하는활동
a073142,(여가)현재보다많은시간을보내기원하는활동
