vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a094101,(청년)유치원이용여부
a094102,(청년)유치원외사교육이용여부
a094111,(청년)유치원외사교육종류-1
a094112,(청년)유치원외사교육종류-2
a094113,(청년)유치원외사교육종류-3
a094114,(청년)유치원외사교육종류-4
a094115,(청년)유치원외사교육종류-5
a094121,(청년)초등학교4학년때사교육경험여부
a094122,(청년)사교육이용한갯수
a094131,(청년)사교육종류-1
a094141,(청년)기간-1
a094132,(청년)사교육종류-2
a094142,(청년)기간-2
a094133,(청년)사교육종류-3
a094143,(청년)기간-3
a094134,(청년)사교육종류-4
a094144,(청년)기간-4
a094135,(청년)사교육종류-5
a094145,(청년)기간-5
a094136,(청년)사교육종류-6
a094146,(청년)기간-6
a094137,(청년)사교육종류-7
a094147,(청년)기간-7
a094151,(청년)초등학교때해외연수경험
a094152,(청년)해외연수횟수
a094153,(청년)해외연수개월
a094201,(청년)중학교다닌적있는지여부
a094202,(청년)중학교2학년때사교육경험여부
a094203,(청년)사교육이용한갯수
a094211,(청년)사교육의종류-1
a094221,(청년)주당횟수-1
a094231,(청년)1회시간-1
a094212,(청년)사교육의종류-2
a094222,(청년)주당횟수-2
a094232,(청년)1회시간-2
a094213,(청년)사교육의종류-3
a094223,(청년)주당횟수-3
a094233,(청년)1회시간-3
a094214,(청년)사교육의종류-4
a094224,(청년)주당횟수-4
a094234,(청년)1회시간-4
a094215,(청년)사교육의종류-5
a094225,(청년)주당횟수-5
a094235,(청년)1회시간-5
a094216,(청년)사교육의종류-6
a094226,(청년)주당횟수-6
a094236,(청년)1회시간-6
a094241,(청년)중학교때해외연수경험
a094242,(청년)해외연수횟수
a094243,(청년)해외연수개월
a094244,(청년)중2때학교수업과사교육이외공부시간
a094251,(청년)중2때학교성적-전체
a094252,(청년)중2때학교성적-국어
a094253,(청년)중2때학교성적-영어
a094254,(청년)중2때학교성적-수학
a094261,(청년)진학희망정도-본인
a094262,(청년)진학희망정도-아버지
a094263,(청년)진학희망정도-어머니
a094271,(청년)현재중학생여부(중학생이면로이동)
a094301,(청년)고등학교다닌적있는지여부
a094302,(청년)고2때사교육경험여부
a094303,(청년)사교육이용한갯수
a094311,(청년)사교육의종류-1
a094321,(청년)주당횟수-1
a094331,(청년)회당시간-1
a094312,(청년)사교육의종류-2
a094322,(청년)주당횟수-2
a094332,(청년)회당시간-2
a094313,(청년)사교육의종류-3
a094323,(청년)주당횟수-3
a094333,(청년)회당시간-3
a094314,(청년)사교육의종류-4
a094324,(청년)주당횟수-4
a094334,(청년)회당시간-4
a094315,(청년)사교육의종류-5
a094325,(청년)주당횟수-5
a094335,(청년)회당시간-5
a094341,(청년)고등학교때해외연수경험
a094342,(청년)해외연수횟수
a094343,(청년)해외연수개월
a094344,(청년)고등학교2학년때혼자공부한시간
a094351,(청년)고등학교입학년도
a094352,(청년)졸업여부
a094353,(청년)졸업년도
a094354,(청년)중퇴년도
a094401,(청년)대학에다닌적있는지여부
a094402,(청년)대학을다닌갯수
a094411,(청년)입학년도-1
a094412,(청년)전공-1
a094413,(청년)대학유형-1
a094414,(청년)편입여부-1
a094415,(청년)학점-1
a094416,(청년)졸업여부-1
a094417,(청년)졸업년도-1
a094418,(청년)중퇴년도-1
a094421,(청년)입학년도-2
a094422,(청년)전공-2
a094423,(청년)대학유형-2
a094424,(청년)편입여부-2
a094425,(청년)학점-2
a094426,(청년)졸업여부-2
a094427,(청년)졸업년도-2
a094428,(청년)중퇴년도-2
a094431,(청년)입학년도-3
a094432,(청년)전공-3
a094433,(청년)대학유형-3
a094434,(청년)편입여부-3
a094435,(청년)학점-3
a094436,(청년)졸업여부-3
a094437,(청년)졸업년도-3
a094438,(청년)중퇴년도-3
a094441,(청년)대학원경험여부
a094442,(청년)다닌대학원수
a094451,(청년)입학년도-1
a094452,(청년)전공-1
a094453,(청년)석사과정/박사과정여부-1
a094454,(청년)대학원진학동기-1
a094455,(청년)졸업여부-1
a094456,(청년)졸업년도-1
