vname,lname
a094457,(청년)수료년도-1
a094458,(청년)중퇴년도-1
a094461,(청년)입학년도-2
a094462,(청년)전공-2
a094463,(청년)석사과정/박사과정여부-2
a094464,(청년)대학원진학동기-2
a094465,(청년)졸업여부-2
a094466,(청년)졸업년도-2
a094467,(청년)수료년도-2
a094468,(청년)중퇴년도-2
a094471,(청년)현재일자리유무
a094472,(청년)대학졸업후구직활동경험유무
a094473,(청년)졸업/수료/중퇴후1개월간주로한일
a090351,(청년)구직활동을시작한때
a090352,(청년)구직활동을시작한시기(년)
a090353,(청년)구직활동을시작한시기(월)
a090311,(청년)구직경로-1
a090312,(청년)구직경로-2
a090313,(청년)구직경로-3
a090361,(청년)적극적으로일자리를찾아본기간
a090321,(청년)지속개월
a090322,(청년)지속주
a090341,(청년)2개월이상계속취업여부
a090342,(청년)2달이상계속일한일자리수
a090411,(청년)취업시기(년)
a090412,(청년)취업시기(월)
a090423,(청년)일자리사업내용
a090425,(청년)주로하는일
a090426,(청년)직책또는지위
a090427,(청년)종사상지위
a090428,(청년)시간제여부
a090501,(청년)정규/비정규직여부
a090429,(청년)기업형태
a090430,(청년)전체종업원수(명)
a090431,(청년)전체종업원수(범주)
a090451,(청년)월평균소득
a090453,(청년)주당평균근무시간
a090502,(청년)전공과업무내용일치도
a090503,(청년)수행업무의교육수준정도
a090504,(청년)희망직업에취업여부
a090505,(청년)희망직업
a090506,(청년)일자리유지여부
a090471,(청년)그만둔사유
a090473,(청년)그만둔시기(년)
a090474,(청년)그만둔시기(월)
a090475,(청년)그만둔시기(일)
a094501,(청년)동거여부-3세때아버지
a094502,(청년)비동거이유-3세때아버지
a094503,(청년)친아버지여부-3세때아버지
a094504,(청년)동거여부-3세때어머니
a094505,(청년)비동거이유-3세때어머니
a094506,(청년)친어머니여부-3세때어머니
a094511,(청년)동거여부-9세때아버지
a094512,(청년)비동거이유-9세때아버지
a094513,(청년)친아버지여부-9세때아버지
a094514,(청년)동거여부-9세때어머니
a094515,(청년)비동거이유-9세때어머니
a094516,(청년)친어머니여부-9세때어머니
a094521,(청년)동거여부-14세때아버지
a094522,(청년)비동거이유-14세때아버지
a094523,(청년)친아버지여부-14세때아버지
a094524,(청년)동거여부-14세때어머니
a094525,(청년)비동거이유-14세때어머니
a094526,(청년)친어머니여부-14세때어머니
a094531,(청년)어머님일-3세때
a094532,(청년)어머님일-9세때
a094533,(청년)어머님일-14세때
a094541,(청년)만14세때소유-(1) 텔레비전
a094542,(청년)만14세때소유-(2) 컴퓨터
a094543,(청년)만14세때소유-(3) 자동차
a094544,(청년)만14세때소유- (4) 방
a094545,(청년)만14세때소유-(5) 자기 독방
a094546,(청년)만14세때소유-(6) 자기 책상
a094547,(청년)만14세때소유-(7) 책
a094551,"(청년)활동빈도-박물관,미술관관람"
a094552,(청년)활동빈도-대중음악콘서트관람
a094553,"(청년)활동빈도-클래식연주,오페라관람"
a094554,(청년)활동빈도-영화관람
a094555,(청년)활동빈도-연극관람
a094556,(청년)활동빈도-스포츠경기관람
a094561,(청년)부모님과의대화와활동-학교생활에대한대화
a094562,"(청년)부모님과의대화와활동-정치,사회적주제에대한대화"
a094563,"(청년)부모님과의대화와활동-책,TV,영화에대한대화"
a094564,(청년)부모님과의대화와활동-본인의고민에관한대화
a094565,(청년)부모님과의대화와활동-함께저녁식사
a094566,(청년)부모님과의대화와활동-함께여가활동
a094601,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-1.신체나용모와관련된열등감때문
a094611,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-1.신체나용모와관련된열등감때
a094602,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-2.학업능력이나성적에대한열등감
a094612,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-2.학업능력이나성적에대한열등
a094603,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-3.교우관계를맺거나유지하기어려
a094613,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-3.교우관계를맺거나유지하기어
a094604,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-4.선생님이싫어서
a094614,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-4.선생님이싫어서
a094605,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-5.학생들로부터따돌림을당하는것
a094615,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-5.학생들로부터따돌림을당하는
a094606,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-6.원래비사교적이고내성적이어서
a094616,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-6.원래비사교적이고내성적이어
a094607,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-7.가정인해
a094617,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-7.가정인해
a094608,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-8.혼자지내는것이편해서
a094618,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-8.혼자지내는것이편해서
a094609,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-9.많은사람들과접촉하는것이부담
a094619,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-9.많은사람들과접촉하는것이부
a094610,(청년) 등교/외출하고싶지않은때가있었는지:중학교때-10.기타
a094620,(청년) 등교/외출하고싶지않은때가있었는지:고등학교때-10.기타
a094621,(청년) 기타에응답한구체적사유
a094631,(청년)중학교때실제로집에만있었던적이있는지여부
a094632,(청년)외출하지않은기간(년)
a094633,(청년)외출하지않은기간(월)
a094634,(청년)외출하지않은기간(주)
a094635,(청년)외출하지않은기간(일)
a094641,(청년)고등학교때실제로집에만있었던적이있는지여부
a094642,(청년)외출하지않은기간(년)
a094643,(청년)외출하지않은기간(월)
a094644,(청년)외출하지않은기간(주)
a094645,(청년)외출하지않은기간(일)
a094651,(청년)최근에집에만있었던적이있는지여부
a094652,(청년)외출하지않은기간(년)
a094653,(청년)외출하지않은기간(월)
a094654,(청년)외출하지않은기간(주)
a094655,(청년)외출하지않은기간(일)
a094661,(청년)중학교시절경험-1.휴학경험
a094662,(청년)중학교시절경험-2.지각
a094663,(청년)중학교시절경험-3.무단결석
a094664,"(청년)중학교시절경험-4.훈계,근신,학교내봉사등의징계"
a094665,(청년)중학교시절경험-5.다른사람을심하게때린경험
a094666,(청년)중학교시절경험-6.남의돈이나물건을훔친경험
a094667,(청년)중학교시절경험-7.다른친구를집단적으로따돌림시킨경험
a094668,(청년)중학교시절경험-8.이성친구와의교제
a094669,(청년)중학교시절경험-9.담배피우기
a094670,(청년)중학교시절경험-10.친구들과술마시기
a094671,(청년)고등학교시절경험-1.휴학경험
a094672,(청년)고등학교시절경험-2.지각
a094673,(청년)고등학교시절경험-3.무단결석
a094674,"(청년)고등학교시절경험-4.훈계,근신,학교내봉사등의징계"
a094675,(청년)고등학교시절경험-5.다른사람을심하게때린경험
a094676,(청년)고등학교시절경험-6.남의돈이나물건을훔친경험
a094677,(청년)고등학교시절경험-7.다른친구를집단적으로따돌림시킨경험
a094678,(청년)고등학교시절경험-8.이성친구와의교제
a094679,(청년)고등학교시절경험-9.담배피우기
a094680,(청년)고등학교시절경험-10.친구들과술마시기
version,21차년도 release 자료
